main_category	ID	state_numeric	success_rate
Technology	31765	6434.0	0.20254997638910752
Journalism	4672	1012.0	0.2166095890410959
Crafts	8661	2115.0	0.24419812954624176
Fashion	22425	5593.0	0.24940914158305463
Food	24265	6085.0	0.2507727179064496
Photography	10675	3305.0	0.30960187353629975
Publishing	39047	12300.0	0.3150049939816119
Design	29516	10550.0	0.3574332565388264
Games	34723	12518.0	0.36051032456872967
Film & Video	62282	23623.0	0.3792909668925211
Art	27863	11510.0	0.41309263180562034
Music	49254	24197.0	0.4912697445892719
Comics	10720	5842.0	0.5449626865671642
Theater	10850	6534.0	0.6022119815668203
Dance	3736	2338.0	0.6258029978586723
